run,attack,epsilon,eps0,eps1,eps2,alpha,malicious_ratio,malicious_count,poison_prob,fixed_offset,scale_k,local_k,clean_edges,protocol_edges,clean_triangles,protocol_triangles,estimate,rel_error_clean,rel_error_protocol,orig_edge_changes,rr_changes,lap_attacked_reports,lap_total_offset,seconds
0,orig_inc,0.5000000000,0.0500000000,0.4220086993,0.0279913007,150.0000000000,0.2000000000,2000,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,2842269,32950647,1375943352,1379965340.8627538681,40.8797646329,0.0029230774,1963167,0,0,0.0000000000,68.1289686140
1,orig_inc,0.5000000000,0.0500000000,0.4217809337,0.0282190663,150.0000000000,0.2000000000,2000,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,2842346,32950647,1376140599,1368601496.8599174023,40.5348899480,0.0054784389,1963244,0,0,0.0000000000,71.0531629620
2,orig_inc,0.5000000000,0.0500000000,0.4223608374,0.0276391626,150.0000000000,0.2000000000,2000,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,2843725,32950647,1376125832,1378660273.6072108746,40.8401579067,0.0018417223,1964623,0,0,0.0000000000,68.6947408240
3,orig_inc,0.5000000000,0.0500000000,0.4206997879,0.0293002121,150.0000000000,0.2000000000,2000,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,2844231,32950647,1375663294,1378094909.2495758533,40.8229999930,0.0017675948,1965129,0,0,0.0000000000,68.0110162120
4,orig_inc,0.5000000000,0.0500000000,0.4258283989,0.0241716011,150.0000000000,0.2000000000,2000,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,2839513,32950647,1375890512,1371286470.4876751900,40.6163746493,0.0033462267,1960411,0,0,0.0000000000,63.5358921390
0,orig_dec,0.5000000000,0.0500000000,0.4320747752,0.0179252248,150.0000000000,0.0300000000,300,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,878050,32950647,32826698,33085389.2178233415,0.0040892131,0.0078805129,1052,0,0,0.0000000000,12.3911426020
1,orig_dec,0.5000000000,0.0500000000,0.4320165131,0.0179834869,150.0000000000,0.0300000000,300,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,878221,32950647,32858699,28813587.4148118235,0.1255532125,0.1231062613,881,0,0,0.0000000000,12.4184490030
2,orig_dec,0.5000000000,0.0500000000,0.4319052865,0.0180947135,150.0000000000,0.0300000000,300,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,878318,32950647,32854775,31780805.7400572412,0.0355028312,0.0326883766,784,0,0,0.0000000000,12.4207620030
3,orig_dec,0.5000000000,0.0500000000,0.4321882819,0.0178117181,150.0000000000,0.0300000000,300,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,878140,32950647,32828151,28902250.6188423820,0.1228624246,0.1195894457,962,0,0,0.0000000000,11.9932072960
4,orig_dec,0.5000000000,0.0500000000,0.4320050655,0.0179949345,150.0000000000,0.0300000000,300,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,878232,32950647,32853192,30574773.5411717333,0.0721040002,0.0693515096,870,0,0,0.0000000000,12.5261631050
0,orig_dec,0.5000000000,0.0500000000,0.4322294008,0.0177705992,150.0000000000,0.0500000000,500,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,876622,32950647,32668240,36750289.9295626730,0.1153131509,0.1249546939,2480,0,0,0.0000000000,12.5066354040
1,orig_dec,0.5000000000,0.0500000000,0.4323864348,0.0176135652,150.0000000000,0.0500000000,500,1.0000000000,10000.0000000000,3.0000000000,0.5000000000,879102,876665,32950647,32659158,29754536.1478371024,0.0969969073,0.0889374384,2437,0,0,0.0000000000,12.2837540010
