dataset,node_num,eps,eps_edge,eps_star,budget_mode,q,m,run,seed,attack_type,malicious_ratio,malicious_count,attack_strength,edge_count_before_attack,edge_count_after_attack,dmax_after_attack,added_edges,removed_edges,rr_forced_reports,selected_pair_count,clean_triangles,true_triangles_after_attack,estimate_triangle,raw_counted_three_times,rel_error_clean,signed_rel_clean,rel_error_attack_true,time_sec
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,1,1777,rr_decrease,0.1000000000,1000,1.0000000000,879102,879102,3197,0,0,495,49996,32950647,-1,20277599.1204137988,60832797.3612413928,0.3846069511,-0.3846069511,nan,29.9099767350
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,1,1777,rr_decrease,0.1250000000,1250,1.0000000000,879102,879102,3197,0,0,787,49996,32950647,-1,26453492.1175699234,79360476.3527097702,0.1971783705,-0.1971783705,nan,28.1241994620
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,1,1777,rr_decrease,0.1500000000,1500,1.0000000000,879102,879102,3197,0,0,1127,49996,32950647,-1,23855607.9955833592,71566823.9867500812,0.2760200431,-0.2760200431,nan,28.8806213350
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,1,1777,rr_decrease,0.1750000000,1750,1.0000000000,879102,879102,3197,0,0,1515,49996,32950647,-1,17309784.0320790745,51929352.0962372199,0.4746754432,-0.4746754432,nan,28.2460544080
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,1,1777,rr_decrease,0.2000000000,2000,1.0000000000,879102,879102,3197,0,0,1972,49996,32950647,-1,13936754.4468143079,41810263.3404429257,0.5770415541,-0.5770415541,nan,30.4558147410
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,2,1778,clean,0.0000000000,0,0.0000000000,879102,879102,3197,0,0,0,49995,32950647,-1,27914003.4592044018,83742010.3776132017,0.1528541622,-0.1528541622,nan,27.4512304510
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,2,1778,rr_increase,0.0250000000,250,1.0000000000,879102,879102,3197,0,0,37,49995,32950647,-1,28510338.2717325054,85531014.8151975125,0.1347563442,-0.1347563442,nan,26.7898929630
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,2,1778,rr_increase,0.0500000000,500,1.0000000000,879102,879102,3197,0,0,133,49995,32950647,-1,25886105.5304868408,77658316.5914605260,0.2143976557,-0.2143976557,nan,26.9986896390
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,2,1778,rr_increase,0.0750000000,750,1.0000000000,879102,879102,3197,0,0,284,49995,32950647,-1,35289343.2019267306,105868029.6057801992,0.0709757293,0.0709757293,nan,28.5218327770
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,2,1778,rr_increase,0.1000000000,1000,1.0000000000,879102,879102,3197,0,0,496,49995,32950647,-1,37141929.9866006449,111425789.9598019421,0.1271988069,0.1271988069,nan,28.0811519700
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,2,1778,rr_increase,0.1250000000,1250,1.0000000000,879102,879102,3197,0,0,785,49995,32950647,-1,39475070.0257088915,118425210.0771266818,0.1980059155,0.1980059155,nan,27.7027927210
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,2,1778,rr_increase,0.1500000000,1500,1.0000000000,879102,879102,3197,0,0,1158,49995,32950647,-1,37399454.1483791098,112198362.4451373369,0.1350142578,0.1350142578,nan,26.7820663100
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,2,1778,rr_increase,0.1750000000,1750,1.0000000000,879102,879102,3197,0,0,1581,49995,32950647,-1,47466896.9476011917,142400690.8428035676,0.4405452174,0.4405452174,nan,29.2315847050
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,2,1778,rr_increase,0.2000000000,2000,1.0000000000,879102,879102,3197,0,0,2052,49995,32950647,-1,43849441.3268669322,131548323.9806008041,0.3307611631,0.3307611631,nan,28.7949891210
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,2,1778,rr_decrease,0.0250000000,250,1.0000000000,879102,879102,3197,0,0,37,49995,32950647,-1,28347018.7451295406,85041056.2353886217,0.1397128334,-0.1397128334,nan,29.0166153970
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,2,1778,rr_decrease,0.0500000000,500,1.0000000000,879102,879102,3197,0,0,133,49995,32950647,-1,24497889.5543616563,73493668.6630849689,0.2565278140,-0.2565278140,nan,28.4829809430
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,2,1778,rr_decrease,0.0750000000,750,1.0000000000,879102,879102,3197,0,0,284,49995,32950647,-1,32240712.0386715680,96722136.1160147041,0.0215454028,-0.0215454028,nan,29.0084829050
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,2,1778,rr_decrease,0.1000000000,1000,1.0000000000,879102,879102,3197,0,0,496,49995,32950647,-1,32378443.7940146029,97135331.3820438087,0.0173654619,-0.0173654619,nan,29.1094329620
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,2,1778,rr_decrease,0.1250000000,1250,1.0000000000,879102,879102,3197,0,0,785,49995,32950647,-1,32397890.5395814627,97193671.6187443882,0.0167752840,-0.0167752840,nan,29.2212504610
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,2,1778,rr_decrease,0.1500000000,1500,1.0000000000,879102,879102,3197,0,0,1158,49995,32950647,-1,25803767.7595702261,77411303.2787106782,0.2168964767,-0.2168964767,nan,29.8660777500
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,2,1778,rr_decrease,0.1750000000,1750,1.0000000000,879102,879102,3197,0,0,1581,49995,32950647,-1,30644985.7074989714,91934957.1224969178,0.0699731721,-0.0699731721,nan,29.3440794540
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,2,1778,rr_decrease,0.2000000000,2000,1.0000000000,879102,879102,3197,0,0,2052,49995,32950647,-1,22590682.9473819882,67772048.8421459645,0.3144085169,-0.3144085169,nan,29.7442729630
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,3,1779,clean,0.0000000000,0,0.0000000000,879102,879102,3197,0,0,0,49992,32950647,-1,26426728.3111814745,79280184.9335444272,0.1979906097,-0.1979906097,nan,28.6391023890
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,3,1779,rr_increase,0.0250000000,250,1.0000000000,879102,879102,3197,0,0,27,49992,32950647,-1,26959425.5496985577,80878276.6490956694,0.1818240914,-0.1818240914,nan,28.2790205250
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,3,1779,rr_increase,0.0500000000,500,1.0000000000,879102,879102,3197,0,0,137,49992,32950647,-1,23996589.7512682229,71989769.2538046688,0.2717414699,-0.2717414699,nan,29.7943863260
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,3,1779,rr_increase,0.0750000000,750,1.0000000000,879102,879102,3197,0,0,302,49992,32950647,-1,22563684.9191860259,67691054.7575580776,0.3152278643,-0.3152278643,nan,29.2518355570
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,3,1779,rr_increase,0.1000000000,1000,1.0000000000,879102,879102,3197,0,0,508,49992,32950647,-1,28788222.3937190436,86364667.1811571270,0.1263230008,-0.1263230008,nan,29.3071154800
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,3,1779,rr_increase,0.1250000000,1250,1.0000000000,879102,879102,3197,0,0,785,49992,32950647,-1,27474736.6937414706,82424210.0812244117,0.1661852135,-0.1661852135,nan,29.9602389150
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,3,1779,rr_increase,0.1500000000,1500,1.0000000000,879102,879102,3197,0,0,1143,49992,32950647,-1,29904820.0267331935,89714460.0801995844,0.0924360294,-0.0924360294,nan,29.9930777980
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,3,1779,rr_increase,0.1750000000,1750,1.0000000000,879102,879102,3197,0,0,1516,49992,32950647,-1,39053797.8360759094,117161393.5082277358,0.1852209711,0.1852209711,nan,34.3528966540
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,3,1779,rr_increase,0.2000000000,2000,1.0000000000,879102,879102,3197,0,0,1992,49992,32950647,-1,42492069.5317315161,127476208.5951945484,0.2895670768,0.2895670768,nan,29.5939999840
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,3,1779,rr_decrease,0.0250000000,250,1.0000000000,879102,879102,3197,0,0,27,49992,32950647,-1,26714446.2597941160,80143338.7793823481,0.1892588252,-0.1892588252,nan,30.1148016540
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,3,1779,rr_decrease,0.0500000000,500,1.0000000000,879102,879102,3197,0,0,137,49992,32950647,-1,22200074.9586358406,66600224.8759075180,0.3262628513,-0.3262628513,nan,30.2222389970
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,3,1779,rr_decrease,0.0750000000,750,1.0000000000,879102,879102,3197,0,0,302,49992,32950647,-1,19297294.3871270306,57891883.1613810956,0.4143576487,-0.4143576487,nan,28.4484194570
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,3,1779,rr_decrease,0.1000000000,1000,1.0000000000,879102,879102,3197,0,0,508,49992,32950647,-1,23262578.4103184231,69787735.2309552729,0.2940175527,-0.2940175527,nan,29.4972452140
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,3,1779,rr_decrease,0.1250000000,1250,1.0000000000,879102,879102,3197,0,0,785,49992,32950647,-1,20098138.0755081438,60294414.2265244275,0.3900533099,-0.3900533099,nan,29.6612375150
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,3,1779,rr_decrease,0.1500000000,1500,1.0000000000,879102,879102,3197,0,0,1143,49992,32950647,-1,16322079.3975877110,48966238.1927631348,0.5046507160,-0.5046507160,nan,31.0941263820
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,3,1779,rr_decrease,0.1750000000,1750,1.0000000000,879102,879102,3197,0,0,1516,49992,32950647,-1,21741928.0161626264,65225784.0484878793,0.3401668861,-0.3401668861,nan,30.1415370620
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,3,1779,rr_decrease,0.2000000000,2000,1.0000000000,879102,879102,3197,0,0,1992,49992,32950647,-1,17504181.9614799283,52512545.8844397888,0.4687757736,-0.4687757736,nan,30.0325255840
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,4,1780,clean,0.0000000000,0,0.0000000000,879102,879102,3197,0,0,0,49993,32950647,-1,25696188.8634781986,77088566.5904345959,0.2201613260,-0.2201613260,nan,30.0653008540
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,4,1780,rr_increase,0.0250000000,250,1.0000000000,879102,879102,3197,0,0,33,49993,32950647,-1,24686368.3509730399,74059105.0529191196,0.2508077808,-0.2508077808,nan,29.6822113320
Gplus,10000,1.0000000000,0.5000000000,0.5000000000,simple,0.0500000000,10,4,1780,rr_increase,0.0500000000,500,1.0000000000,879102,879102,3197,0,0,126,49993,32950647,-1,37264212.5305967256,111792637.5917901844,0.1309098887,0.1309098887,nan,30.0060375850
