run,attack,n,eps,eps1,eps2,delta,h_prime,h,mal_ratio,mal_count,orig_poison_prob,lap_strength,edges_clean,edges_protocol,changed_edges,clean_triangles,protocol_triangles,lambda,max_d_tail,max_c_dagger,estimate,rel_clean,rel_protocol,changed_reports,bias_sum,phase2_noise_sum,time_sec,seed
2,orig_increase,10000,0.5,0.05,0.45,1e-06,100,3,0.1,1000,0.5,0,879102,1125234,246132,32950647,56256745,26389.6324710584,2750.94392422091,3958.44487065875,56426140.348844,0.712444078832321,0.0030111118025757,0,0,508186.046531743,5.779185995,20470077
3,orig_increase,10000,0.5,0.05,0.45,1e-06,100,3,0.1,1000,0.5,0,879102,1124387,245285,32950647,56388135,25904.2600834536,2751.25130553952,3885.63901251805,56372648.9242906,0.710820698734402,0.0002746335857602,0,0,-46458.2271284011,5.562620291,20574806
4,orig_increase,10000,0.5,0.05,0.45,1e-06,100,3,0.1,1000,0.5,0,879102,1123127,244025,32950647,56621114,25330.4532291505,2776.02227779147,3799.56798437258,53891113.0358162,0.63551001095111,0.0482152464217471,0,0,-8190002.89255137,5.636526892,20679535
0,orig_decrease,10000,0.5,0.05,0.45,1e-06,100,3,0.1,1000,0.5,0,879102,875583,3519,32950647,32593824,25827.8315611448,2656.29637614577,3874.17473417172,33125036.0644448,0.0052924321772753,0.0162979362116222,0,0,1593636.19333416,3.469589356,20260619
1,orig_decrease,10000,0.5,0.05,0.45,1e-06,100,3,0.1,1000,0.5,0,879102,874664,4438,32950647,32455100,25346.8005661672,2654.95198787384,3802.02008492508,32575197.736706,0.0113942910830851,0.00370042725815094,0,0,360293.210118019,3.496280558,20365348
2,orig_decrease,10000,0.5,0.05,0.45,1e-06,100,3,0.1,1000,0.5,0,879102,875162,3940,32950647,32546899,25589.9847127319,2675.65934779764,3838.49770690978,32501758.6051938,0.0136230525247706,0.00138693381529762,0,0,-135421.184419027,3.557151659,20470077
3,orig_decrease,10000,0.5,0.05,0.45,1e-06,100,3,0.1,1000,0.5,0,879102,874786,4316,32950647,32465210,26674.0291602676,2672.91336003674,4001.10437404013,33055994.3663949,0.00319712588329077,0.0181974601856842,0,0,1772353.09918458,3.461771557,20574806
4,orig_decrease,10000,0.5,0.05,0.45,1e-06,100,3,0.1,1000,0.5,0,879102,874194,4908,32950647,32377264,26019.1284457826,2678.69080602582,3902.8692668674,31014487.0597678,0.0587593906800136,0.0420905528099044,0,0,-4088330.8206964,3.505782657,20679535
0,orig_increase,10000,0.5,0.05,0.45,1e-06,100,3,0.1,1000,0.75,0,879102,1247978,368876,32950647,105776231,26163.8401695526,2871.52085663299,3924.57602543289,105094720.565761,2.18945848212815,0.0064429449583946,0,0,-2044531.30271771,6.896932013,20260619
1,orig_increase,10000,0.5,0.05,0.45,1e-06,100,3,0.1,1000,0.75,0,879102,1247116,368014,32950647,106543746,26105.8987607155,2888.96688464823,3915.88481410732,105467920.134094,2.20078449852878,0.010097503666766,0,0,-3227477.59771608,7.283768819,20365348
2,orig_increase,10000,0.5,0.05,0.45,1e-06,100,3,0.1,1000,0.75,0,879102,1248285,369183,32950647,106555834,27611.7264562742,2851.83802842179,4141.75896844113,106733073.983936,2.23917991607072,0.0016633531669026,0,0,531719.951807541,7.026105615,20470077
3,orig_increase,10000,0.5,0.05,0.45,1e-06,100,3,0.1,1000,0.75,0,879102,1247018,367916,32950647,106530517,26830.6179991602,2846.38796463891,4024.59269987403,106514477.129325,2.23254584741008,0.000150565970448971,0,0,-48119.6120246116,6.893446512,20574806
4,orig_increase,10000,0.5,0.05,0.45,1e-06,100,3,0.1,1000,0.75,0,879102,1245967,366865,32950647,106958566,24968.2017283767,2884.79469525886,3745.23025925651,104267606.853878,2.16435688968044,0.0251588932682748,0,0,-8072877.43836668,6.844918111,20679535
0,orig_decrease,10000,0.5,0.05,0.45,1e-06,100,3,0.1,1000,0.75,0,879102,873788,5314,32950647,32432593,25827.8315611448,2656.29637614577,3874.17473417172,32963805.0644448,0.000399326436438106,0.0163789575642268,0,0,1593636.19333416,3.513399958,20260619
1,orig_decrease,10000,0.5,0.05,0.45,1e-06,100,3,0.1,1000,0.75,0,879102,872605,6497,32950647,32239150,25346.8005661672,2653.5319605341,3802.02008492508,32359247.736706,0.0179480318943048,0.0037252141171843,0,0,360293.210118019,3.457692656,20365348
2,orig_decrease,10000,0.5,0.05,0.45,1e-06,100,3,0.1,1000,0.75,0,879102,873259,5843,32950647,32355846,25589.9847127319,2675.65934779764,3838.49770690978,32310705.6051938,0.0194212087794866,0.00139512330495593,0,0,-135421.184419027,3.465491758,20470077
3,orig_decrease,10000,0.5,0.05,0.45,1e-06,100,3,0.1,1000,0.75,0,879102,872681,6421,32950647,32248969,26674.0291602676,2667.63339592058,4001.10437404013,32839753.3663949,0.00336544631749215,0.018319480737349,0,0,1772353.09918458,3.464397056,20574806
4,orig_decrease,10000,0.5,0.05,0.45,1e-06,100,3,0.1,1000,0.75,0,879102,871740,7362,32950647,32105623,26019.1284457826,2667.91213302271,3902.8692668674,30742846.0597679,0.0670032652236585,0.0424466748467129,0,0,-4088330.8206964,3.445694556,20679535
0,orig_increase,10000,0.5,0.05,0.45,1e-06,100,3,0.1,1000,1,0,879102,1371452,492350,32950647,201709934,26163.8401695526,3022.80258829109,3924.57602543289,201028423.565761,5.10089457623581,0.00337866569446787,0,0,-2044531.30271771,6.056977899,20260619
1,orig_increase,10000,0.5,0.05,0.45,1e-06,100,3,0.1,1000,1,0,879102,1369972,490870,32950647,202241336,27004.3120896957,3037.9001593156,4050.64681345435,201128486.45962,5.10393132673906,0.00550258202595939,0,0,-3338548.62114074,6.856320212,20365348
