run,attack,n,eps,eps1,eps2,delta,h_prime,h,mal_ratio,mal_count,orig_poison_prob,lap_strength,edges_clean,edges_protocol,changed_edges,clean_triangles,protocol_triangles,lambda,max_d_tail,max_c_dagger,estimate,rel_clean,rel_protocol,changed_reports,bias_sum,phase2_noise_sum,time_sec,seed
3,orig_increase,10000,2,0.2,1.8,1e-06,100,3,0.2,2000,0.25,0,7569,507363,499794,7790,20861027,1545.10325656534,927.061953939204,742.232919740336,20836531.7097131,2673.77942358319,0.00117421305705357,0,0,-73485.8708609064,3.162636752,20574806
4,orig_increase,10000,2,0.2,1.8,1e-06,100,3,0.2,2000,0.25,0,7569,506643,499074,7790,20763044,1538.71770515449,923.230623092696,742.281371764839,20858534.4062677,2676.60390324361,0.00459905620138032,0,0,286471.218803082,3.05674055,20679535
0,orig_decrease,10000,2,0.2,1.8,1e-06,100,2,0.2,2000,0.25,0,7569,7495,74,7790,7285,751.851858370648,451.111115022389,369.949699784247,-27919.6217838714,4.58403360511828,4.83248068412786,0,0,-105613.865351614,0.0097315,20260619
1,orig_decrease,10000,2,0.2,1.8,1e-06,100,2,0.2,2000,0.25,0,7569,7484,85,7790,7524,743.630794997942,446.178476998765,361.924595500079,-37593.5994596726,5.82587926311587,5.99649115625633,0,0,-135352.798379018,0.0099056,20365348
2,orig_decrease,10000,2,0.2,1.8,1e-06,100,2,0.2,2000,0.25,0,7569,7490,79,7790,7565,742.039442251267,445.22366535076,385.921696845392,14052.3198630751,0.803892151871004,0.85754393431264,0,0,19461.9595892254,0.009159901,20470077
3,orig_decrease,10000,2,0.2,1.8,1e-06,100,2,0.2,2000,0.25,0,7569,7492,77,7790,7612,745.69532872661,447.417197235966,390.977771280528,-36731.9530924216,5.71526997335323,5.82553246090668,0,0,-133031.859277265,0.0091715,20574806
4,orig_decrease,10000,2,0.2,1.8,1e-06,100,2,0.2,2000,0.25,0,7569,7475,94,7790,7556,750.261044811449,450.156626886869,372.630120073539,-17631.6422757943,3.26336871319567,3.33346245047569,0,0,-75562.9268273825,0.0098388,20679535
0,orig_increase,10000,2,0.2,1.8,1e-06,100,5,0.2,2000,0.5,0,7569,1006709,999140,7790,166408825,2499.54660820293,1426.3219192225,1499.72796492176,166348453.224641,21353.101826013,0.000362791909377431,0,0,-181115.326077449,10.551238272,20260619
1,orig_increase,10000,2,0.2,1.8,1e-06,100,5,0.2,2000,0.5,0,7569,1007556,999987,7790,166830275,2492.7208136001,1433.0814249761,1495.63248816006,166753425.364863,21405.0879800851,0.000460645618050812,0,0,-230548.90541057,10.533024872,20365348
2,orig_increase,10000,2,0.2,1.8,1e-06,100,4,0.2,2000,0.5,0,7569,1007620,1000051,7790,166829415,2379.86704190616,1427.92022514369,1356.46824052355,166784267.098708,21409.0471243527,0.000270623146955743,0,0,-135443.703875939,10.808678176,20470077
3,orig_increase,10000,2,0.2,1.8,1e-06,100,4,0.2,2000,0.5,0,7569,1007205,999636,7790,166645129,2381.22440975522,1428.73464585313,1342.31055965378,166606703.299753,21386.2533119067,0.000230583998927459,0,0,-115277.100739063,10.726114075,20574806
4,orig_increase,10000,2,0.2,1.8,1e-06,100,4,0.2,2000,0.5,0,7569,1005430,997861,7790,165785036,2376.96439206205,1426.17863523723,1347.37516235312,165931422.809576,21299.5677547594,0.000882991692785373,0,0,439160.428727777,10.723919776,20679535
0,orig_decrease,10000,2,0.2,1.8,1e-06,100,2,0.2,2000,0.5,0,7569,7417,152,7790,6927,751.697574550947,451.018544730568,369.949699784247,-28270.3976166904,4.62906259521058,5.08118920408408,0,0,-105592.192850071,0.0093421,20260619
1,orig_decrease,10000,2,0.2,1.8,1e-06,100,2,0.2,2000,0.5,0,7569,7380,189,7790,7159,743.630794997942,446.178476998765,361.924595500079,-37958.5994596726,5.8727342053495,6.30222090510862,0,0,-135352.798379018,0.0097941,20365348
2,orig_decrease,10000,2,0.2,1.8,1e-06,100,2,0.2,2000,0.5,0,7569,7437,132,7790,7423,742.039442251267,445.22366535076,385.921696845392,13910.3198630751,0.785663653796551,0.873948519880794,0,0,19461.9595892254,0.0103657,20470077
3,orig_decrease,10000,2,0.2,1.8,1e-06,100,2,0.2,2000,0.5,0,7569,7411,158,7790,7421,745.69532872661,447.417197235966,390.977771280528,-36922.9530924216,5.73978858696041,5.97546868244463,0,0,-133031.859277265,0.009095601,20574806
4,orig_decrease,10000,2,0.2,1.8,1e-06,100,2,0.2,2000,0.5,0,7569,7388,181,7790,7346,750.261044811449,450.156626886869,372.630120073539,-17841.6422757943,3.2903263511931,3.42875609526195,0,0,-75562.9268273825,0.0086752,20679535
0,orig_increase,10000,2,0.2,1.8,1e-06,100,6,0.2,2000,0.75,0,7569,1506271,1498702,7790,561421681,3359.03327286959,1924.54479924956,2015.41996372176,561342410.284601,72058.3594717074,0.00014119639137945,0,0,-237812.146197526,17.292791683,20260619
1,orig_increase,10000,2,0.2,1.8,1e-06,100,6,0.2,2000,0.75,0,7569,1507173,1499604,7790,562456994,3379.60721237873,1926.2284055411,2027.76432742724,562352930.095712,72188.0796015035,0.000185016641979167,0,0,-312191.712856978,17.413122385,20365348
2,orig_increase,10000,2,0.2,1.8,1e-06,100,6,0.2,2000,0.75,0,7569,1505810,1498241,7790,560851623,3352.65426677633,1919.54203743043,2011.5925600658,560786547.30462,71987.003505086,0.000116030145427346,0,0,-195227.086144509,17.225735782,20470077
3,orig_increase,10000,2,0.2,1.8,1e-06,100,6,0.2,2000,0.75,0,7569,1506580,1499011,7790,561733631,3322.90246450361,1926.50767690009,1993.74147870216,561679629.974199,72101.6482636969,9.61327982179899e-05,0,0,-162003.077394525,17.354373184,20574806
4,orig_increase,10000,2,0.2,1.8,1e-06,100,6,0.2,2000,0.75,0,7569,1505701,1498132,7790,560811389,3324.11082193963,1923.73073772604,1994.46649316378,561014129.185212,72016.218123904,0.000361512246699852,0,0,608220.555631483,17.212927681,20679535
0,orig_decrease,10000,2,0.2,1.8,1e-06,100,2,0.2,2000,0.75,0,7569,7342,227,7790,6689,751.697574550947,451.018544730568,369.949699784247,-28508.3976166904,4.659614584941,5.2619820027942,0,0,-105592.192850071,0.0079177,20260619
1,orig_decrease,10000,2,0.2,1.8,1e-06,100,2,0.2,2000,0.75,0,7569,7297,272,7790,6921,743.630794997942,446.178476998765,361.924595500079,-38196.5994596726,5.90328619507993,6.51894227130077,0,0,-135352.798379018,0.0096331,20365348
2,orig_decrease,10000,2,0.2,1.8,1e-06,100,2,0.2,2000,0.75,0,7569,7365,204,7790,7226,742.039442251267,445.22366535076,385.921696845392,13713.3198630751,0.760374821960865,0.897774683514411,0,0,19461.9595892254,0.009530501,20470077
3,orig_decrease,10000,2,0.2,1.8,1e-06,100,2,0.2,2000,0.75,0,7569,7347,222,7790,7245,745.69532872661,447.417197235966,390.977771280528,-37098.9530924216,5.76238165499636,6.12062844615896,0,0,-133031.859277265,0.0092731,20574806
4,orig_decrease,10000,2,0.2,1.8,1e-06,100,2,0.2,2000,0.75,0,7569,7296,273,7790,7140,750.261044811449,450.156626886869,372.630120073539,-18047.6422757942,3.31677051037153,3.5276809910076,0,0,-75562.9268273825,0.0119926,20679535
0,orig_increase,10000,2,0.2,1.8,1e-06,100,7,0.2,2000,1,0,7569,2006251,1998682,7790,1331342837,4200.36637254031,2413.38229860199,2520.21982352419,1331242617.69351,170890.221783506,7.52768586005515e-05,0,0,-300657.919478806,8.757594843,20260619
1,orig_increase,10000,2,0.2,1.8,1e-06,100,7,0.2,2000,1,0,7569,2006219,1998650,7790,1331343144,4179.15933027407,2415.83751045215,2507.49559816444,1331213031.65198,170886.423832089,9.77301371259738e-05,0,0,-390337.044094672,8.716769743,20365348
